	cik	gvkey	year	sic_list
	811828 	13680 	1999 	['308']
	811828 	13680 	1998 	['308']
	949158 	61350 	1999 	['357']
	949158 	61350 	1998 	['357']
	897941 	28474 	1999 	['603']
	897941 	28474 	1998 	['603']
	908652 	28765 	1999 	['581']
	908652 	28765 	1998 	['581']
	1020716 	64099 	1999 	['737']
	755806 	14622 	1999 	['283']
	755806 	14622 	1998 	['283']
	813461 	14131 	1999 	['603']
	813461 	14131 	1998 	['603']
	896841 	27925 	1999 	['386']
	896841 	27925 	1998 	['386']
	19913 	3002 	1999 	['653']
	19913 	3002 	1998 	['653']
	853665 	16665 	1999 	['581']
	853665 	16665 	1998 	['581']
	356830 	3171 	1999 	['283']
	356830 	3171 	1998 	['283']
	925288 	61102 	1999 	['737']
	925288 	61102 	1998 	['737']
	880458 	24767 	1999 	['737']
	880458 	24767 	1998 	['737']
	1015610 	63998 	1999 	['602']
	1015610 	63998 	1998 	['602']
	885073 	25223 	1999 	['737']
	1037388 	61340 	1999 	['489']
	1037388 	61340 	1998 	['489']
	897861 	29112 	1999 	['602']
	897861 	29112 	1998 	['602']
	700733 	17070 	1999 	['602']
	700733 	17070 	1998 	['602']
	1035443 	64821 	1999 	['679']
	755933 	16896 	1999 	['602']
	755933 	16896 	1998 	['602']
	932279 	31194 	1999 	['737']
	932279 	31194 	1998 	['737']
	874710 	24837 	1999 	['384']
	874710 	24837 	1998 	['384']
	948515 	61442 	1999 	['603']
	874716 	24197 	1999 	['283']
	874716 	24197 	1998 	['283']
	923529 	24414 	1999 	['602']
	923529 	24414 	1998 	['602']
	905134 	28714 	1999 	['679']
	905134 	28714 	1998 	['679']
	95574 	10198 	1999 	['230']
	95574 	10198 	1998 	['230']
	80172 	7762 	1998 	['363']
	920907 	30177 	1999 	['421']
	920907 	30177 	1998 	['421']
	1004990 	62109 	1998 	['591']
	320186 	20134 	1999 	['138']
	320186 	20134 	1998 	['138']
	320187 	7906 	1999 	['302']
	320187 	7906 	1998 	['302']
	866787 	23809 	1999 	['553']
	866787 	23809 	1998 	['553']
	932129 	31430 	1998 	['371']
	854662 	20075 	1999 	['603']
	854662 	20075 	1998 	['603']
	1023516 	64282 	1999 	['366']
	821572 	14382 	1999 	['202']
	821572 	14382 	1998 	['202']
	1009244 	62698 	1999 	['581']
	1009244 	62698 	1998 	['581']
	820738 	13940 	1999 	['737']
	820738 	13940 	1998 	['737']
	920424 	30146 	1999 	['621']
	920424 	30146 	1998 	['621']
	764858 	12877 	1999 	['373']
	764858 	12877 	1998 	['373']
	805305 	12868 	1999 	['232']
	805305 	12868 	1998 	['232']
	909326 	28884 	1999 	['355']
	909326 	28884 	1998 	['355']
	892653 	29997 	1999 	['232']
	892653 	29997 	1998 	['232']
	707855 	25236 	1999 	['602']
	707855 	25236 	1998 	['602']
	60667 	6829 	1999 	['521']
	60667 	6829 	1998 	['521']
	715273 	61352 	1999 	['701']
	715273 	61352 	1998 	['679']
	874396 	24099 	1999 	['342']
	874396 	24099 	1998 	['342']
	1001250 	61567 	1999 	['284']
	1001250 	61567 	1998 	['284']
	868326 	61257 	1999 	['355']
	868326 	61257 	1998 	['355']
	717837 	16853 	1999 	['602']
	717837 	16853 	1998 	['602']
	1001258 	61544 	1999 	['615']
	1001258 	61544 	1998 	['615']
	1449732 	63495 	1999 	['162']
	1449732 	63495 	1998 	['162']
	902791 	28410 	1999 	['736']
	902791 	28410 	1998 	['736']
	703604 	6617 	1999 	['508']
	703604 	6617 	1998 	['508']
	911360 	28895 	1999 	['208']
	911360 	28895 	1998 	['208']
	45791 	8390 	1998 	['562']
	821002 	19402 	1999 	['238']
	821002 	19402 	1998 	['238']
	45260 	5456 	1998 	['232']
	80293 	8750 	1999 	['701']
	80293 	8750 	1998 	['701']
	885708 	25296 	1999 	['628']
	885708 	25296 	1998 	['628']
	745344 	19415 	1999 	['602']
	745344 	19415 	1998 	['602']
	790183 	17027 	1999 	['603']
	790183 	17027 	1998 	['603']
	885259 	63804 	1999 	['283']
	885259 	63804 	1998 	['283']
	894372 	27948 	1998 	['603']
	105608 	11361 	1999 	['357']
	105608 	11361 	1998 	['357']
	1031927 	65812 	1999 	['489']
	1003078 	61732 	1999 	['508']
	1003078 	61732 	1998 	['508']
	911109 	29734 	1999 	['344']
	911109 	29734 	1998 	['344']
	784770 	11907 	1999 	['367']
	784770 	11907 	1998 	['367']
	1006591 	63771 	1998 	['737']
	102379 	10813 	1999 	['871']
	102379 	10813 	1998 	['871']
	906782 	28668 	1999 	['233']
	906782 	28668 	1998 	['233']
	927355 	30714 	1999 	['506']
	927355 	30714 	1998 	['506']
	1053307 	30127 	1999 	['603']
	1053307 	30127 	1998 	['603']
	805419 	13625 	1999 	['679']
	805419 	13625 	1998 	['679']
	932021 	31588 	1999 	['366']
	932021 	31588 	1998 	['366']
	1035713 	2731 	1999 	['602']
	878927 	24617 	1999 	['421']
	878927 	24617 	1998 	['421']
	812906 	13531 	1999 	['594']
	812906 	13531 	1998 	['594']
	945764 	20653 	1999 	['131']
	945764 	20653 	1998 	['131']
	812900 	13380 	1999 	['531']
	812900 	13380 	1998 	['531']
	106640 	11465 	1999 	['363']
	799033 	13514 	1999 	['735']
	799033 	13514 	1998 	['735']
	940332 	31743 	1999 	['367']
	940332 	31743 	1998 	['367']
	895516 	28285 	1999 	['738']
	895516 	28285 	1998 	['738']
	8855 	1496 	1999 	['254']
	8855 	1496 	1998 	['254']
	317093 	1651 	1999 	['335']
	851520 	23027 	1999 	['874']
	851520 	23027 	1998 	['874']
	906110 	28754 	1999 	['679']
	906110 	28754 	1998 	['679']
	914537 	62710 	1999 	['581']
	914537 	62710 	1998 	['581']
	278130 	8579 	1999 	['571']
	278130 	8579 	1998 	['571']
	849399 	15855 	1999 	['737']
	849399 	15855 	1998 	['737']
	911583 	63424 	1999 	['393']
	911583 	63424 	1998 	['393']
	868780 	23753 	1999 	['371']
	868780 	23753 	1998 	['371']
	26820 	5327 	1999 	['314']
	26820 	5327 	1998 	['314']
	720481 	10458 	1998 	['737']
	1271193 	63769 	1999 	['335']
	1009802 	63106 	1999 	['367']
	1009802 	63106 	1998 	['367']
	1067294 	3570 	1999 	['581']
	1067294 	3570 	1998 	['581']
	1027974 	12126 	1999 	['632']
	1027974 	12126 	1998 	['632']
	760775 	12309 	1998 	['201']
	863680 	62960 	1999 	['384']
	863680 	62960 	1998 	['384']
	887137 	62526 	1999 	['283']
	887137 	62526 	1998 	['283']
	891178 	25859 	1999 	['737']
	891178 	25859 	1998 	['737']
	1000753 	64302 	1999 	['736']
	931784 	31143 	1999 	['737']
	931784 	31143 	1998 	['737']
	724004 	7275 	1999 	['382']
	724004 	7275 	1998 	['382']
	863110 	17341 	1999 	['494']
	863110 	17341 	1998 	['494']
	1011509 	65921 	1999 	['104']
	726714 	22657 	1998 	['737']
	893741 	25981 	1999 	['581']
	893741 	25981 	1998 	['581']
	34408 	4560 	1999 	['533']
	34408 	4560 	1998 	['533']
	867347 	25150 	1999 	['737']
	23071 	3333 	1999 	['367']
	23071 	3333 	1998 	['367']
	1028965 	64538 	1999 	['335']
	8146 	1820 	1999 	['382']
	8146 	1820 	1998 	['357']
	717538 	16668 	1999 	['602']
	717538 	16668 	1998 	['602']
	95366 	10159 	1999 	['366']
	95366 	10159 	1998 	['366']
	920522 	30293 	1999 	['679']
	920522 	30293 	1998 	['679']
	1025711 	64177 	1999 	['357']
	24545 	3505 	1999 	['208']
	24545 	3505 	1998 	['208']
	320345 	7331 	1999 	['737']
	320345 	7331 	1998 	['737']
	735780 	11720 	1999 	['737']
	735780 	11720 	1998 	['737']
	868671 	16832 	1999 	['602']
	868671 	16832 	1998 	['602']
	31667 	4225 	1999 	['519']
	31667 	4225 	1998 	['519']
	944948 	61060 	1999 	['233']
	944948 	61060 	1998 	['233']
	79282 	15417 	1999 	['641']
	79282 	15417 	1998 	['641']
	701288 	1234 	1999 	['384']
	945384 	61068 	1999 	['737']
	945384 	61068 	1998 	['737']
	47307 	5621 	1999 	['382']
	47307 	5621 	1998 	['382']
	812121 	13332 	1999 	['384']
	812121 	13332 	1998 	['384']
	811589 	16777 	1999 	['602']
	811589 	16777 	1998 	['602']
	1042798 	65829 	1999 	['679']
	812128 	13323 	1999 	['201']
	812128 	13323 	1998 	['201']
	736473 	18044 	1999 	['602']
	736473 	18044 	1998 	['602']
	25895 	3622 	1999 	['221']
	25895 	3622 	1998 	['221']
	792130 	25320 	1999 	['737']
	792130 	25320 	1998 	['737']
	765258 	24699 	1999 	['283']
	765258 	24699 	1998 	['283']
	745981 	28152 	1999 	['602']
	745981 	28152 	1998 	['602']
	740670 	7316 	1999 	['594']
	740670 	7316 	1998 	['594']
	55135 	6379 	1999 	['736']
	55135 	6379 	1998 	['736']
	1036044 	65552 	1999 	['357']
	1030418 	64680 	1999 	['384']
	883756 	30214 	1998 	['602']
	88948 	8582 	1999 	['203']
	88948 	8582 	1998 	['203']
	846913 	28819 	1999 	['356']
	846913 	28819 	1998 	['356']
	1000683 	61712 	1999 	['366']
	1000683 	61712 	1998 	['366']
	88941 	9599 	1999 	['367']
	88941 	9599 	1998 	['367']
	816247 	13590 	1999 	['821']
	816247 	13590 	1998 	['821']
	888711 	25631 	1999 	['737']
	888711 	25631 	1998 	['737']
	886046 	25355 	1999 	['384']
	886046 	25355 	1998 	['384']
	866368 	23793 	1999 	['679']
	866368 	23793 	1998 	['679']
	1030896 	64851 	1999 	['596']
	946738 	61390 	1999 	['602']
	946738 	61390 	1998 	['602']
	913056 	29252 	1998 	['283']
	934203 	62781 	1999 	['603']
	934203 	62781 	1998 	['603']
	1020996 	63812 	1999 	['738']
	1044566 	8031 	1999 	['635']
	1044566 	8031 	1998 	['635']
	50982 	18797 	1998 	['631']
	815910 	30718 	1999 	['357']
	815910 	30718 	1998 	['357']
	859360 	60969 	1999 	['737']
	859360 	60969 	1998 	['737']
	702131 	7504 	1999 	['283']
	702131 	7504 	1998 	['283']
	1399315 	7067 	1999 	['602']
	1399315 	7067 	1998 	['602']
	859368 	21186 	1999 	['283']
	859368 	21186 	1998 	['283']
	103595 	11178 	1999 	['541']
	103595 	11178 	1998 	['541']
	93751 	10035 	1999 	['602']
	93751 	10035 	1998 	['602']
	92339 	14201 	1999 	['602']
	92339 	14201 	1998 	['602']
	912908 	29341 	1999 	['308']
	912908 	29341 	1998 	['308']
	928423 	61322 	1998 	['794']
	1036629 	65169 	1999 	['873']
	19617 	2968 	1999 	['602']
	19617 	2968 	1998 	['602']
	32666 	4328 	1999 	['401']
	32666 	4328 	1998 	['401']
	65201 	7281 	1999 	['356']
	65201 	7281 	1998 	['356']
	19612 	15197 	1999 	['602']
	19612 	15197 	1998 	['602']
	714655 	2226 	1999 	['283']
	714655 	2226 	1998 	['283']
	915901 	63442 	1998 	['283']
	922488 	30476 	1999 	['721']
	922488 	30476 	1998 	['721']
	1022671 	64030 	1999 	['331']
	1022671 	64030 	1998 	['331']
	108601 	11609 	1999 	['206']
	108601 	11609 	1998 	['206']
	350797 	4201 	1999 	['628']
	350797 	4201 	1998 	['628']
	813298 	13381 	1999 	['565']
	813298 	13381 	1998 	['565']
	748270 	7205 	1999 	['384']
	748270 	7205 	1998 	['384']
	922487 	17168 	1999 	['602']
	922487 	17168 	1998 	['602']
	1341439 	12142 	1999 	['737']
	1341439 	12142 	1998 	['737']
	702259 	3917 	1999 	['283']
	702259 	3917 	1998 	['283']
	890319 	25950 	1999 	['679']
	890319 	25950 	1998 	['679']
	811831 	16689 	1999 	['602']
	811831 	16689 	1998 	['602']
	811830 	17130 	1999 	['603']
	811830 	17130 	1998 	['603']
	6769 	1678 	1999 	['131']
	6769 	1678 	1998 	['131']
	703351 	3007 	1999 	['581']
	703351 	3007 	1998 	['581']
	897448 	28027 	1999 	['283']
	897448 	28027 	1998 	['283']
	1017917 	63498 	1999 	['737']
	1017917 	63498 	1998 	['737']
	890640 	17080 	1999 	['737']
	890640 	17080 	1998 	['737']
	1036713 	64964 	1999 	['342']
	39020 	4900 	1998 	['382']
	1015780 	63501 	1999 	['621']
	1015780 	63501 	1998 	['621']
	813619 	13409 	1999 	['308']
	813619 	13409 	1998 	['308']
	1199025 	16877 	1999 	['602']
	1199025 	16877 	1998 	['602']
	819913 	27932 	1999 	['633']
	819913 	27932 	1998 	['633']
	876167 	24352 	1999 	['737']
	876167 	24352 	1998 	['737']
	908315 	28785 	1999 	['590']
	908315 	28785 	1998 	['590']
	886136 	27790 	1999 	['483']
	886136 	27790 	1998 	['483']
	923603 	30495 	1999 	['679']
	923603 	30495 	1998 	['679']
	908311 	29448 	1999 	['679']
	908311 	29448 	1998 	['679']
	866415 	61721 	1999 	['394']
	866415 	61721 	1998 	['394']
	356809 	17208 	1999 	['602']
	356809 	17208 	1998 	['602']
	1507934 	32280 	1998 	['483']
	2186 	1117 	1999 	['366']
	715096 	16784 	1999 	['602']
	715096 	16784 	1998 	['602']
	783739 	19049 	1999 	['602']
	783739 	19049 	1998 	['602']
	1013466 	63004 	1999 	['384']
	1013466 	63004 	1998 	['384']
	723458 	19508 	1999 	['602']
	723458 	19508 	1998 	['602']
	1013462 	63080 	1999 	['737']
	1013462 	63080 	1998 	['737']
	1027258 	64301 	1999 	['602']
	785787 	11903 	1999 	['308']
	785787 	11903 	1998 	['308']
	351569 	30222 	1999 	['602']
	351569 	30222 	1998 	['602']
	1002517 	61685 	1999 	['737']
	1002517 	61685 	1998 	['357']
	853273 	14268 	1999 	['737']
	853273 	14268 	1998 	['737']
	943897 	60898 	1999 	['341']
	943897 	60898 	1998 	['341']
	897067 	63600 	1999 	['355']
	897067 	63600 	1998 	['355']
	832483 	14525 	1999 	['824']
	832483 	14525 	1998 	['824']
	748580 	12110 	1999 	['679']
	748580 	12110 	1998 	['679']
	832480 	22338 	1998 	['631']
	701853 	14219 	1999 	['602']
	701853 	14219 	1998 	['602']
	98720 	10615 	1999 	['131']
	98720 	10615 	1998 	['131']
	1001316 	61711 	1999 	['283']
	1001316 	61711 	1998 	['283']
	5768 	1554 	1999 	['384']
	5768 	1554 	1998 	['384']
	1008817 	62602 	1999 	['737']
	1008817 	62602 	1998 	['737']
	801529 	63445 	1999 	['386']
	801529 	63445 	1998 	['386']
	929548 	30775 	1999 	['283']
	929548 	30775 	1998 	['283']
	880059 	63907 	1999 	['820']
	1013609 	64323 	1999 	['635']
	722642 	5374 	1998 	['284']
	310056 	11161 	1999 	['366']
	310056 	11161 	1998 	['366']
	863483 	23050 	1998 	['581']
	704415 	24396 	1999 	['806']
	922023 	61744 	1999 	['366']
	922023 	61744 	1998 	['366']
	1013606 	63083 	1999 	['384']
	1013606 	63083 	1998 	['384']
	942126 	31738 	1999 	['506']
	942126 	31738 	1998 	['506']
	722080 	4205 	1999 	['104']
	722080 	4205 	1998 	['104']
	74208 	10894 	1999 	['679']
	74208 	10894 	1998 	['679']
	915290 	65622 	1999 	['737']
	320193 	1690 	1999 	['357']
	320193 	1690 	1998 	['357']
	911167 	31455 	1998 	['367']
	890465 	30255 	1999 	['283']
	890465 	30255 	1998 	['283']
	26058 	2577 	1999 	['367']
	26058 	2577 	1998 	['367']
	1003932 	62135 	1999 	['367']
	1003932 	62135 	1998 	['367']
	1070985 	65084 	1999 	['679']
	320174 	1951 	1999 	['384']
	320174 	1951 	1998 	['384']
	352495 	10422 	1998 	['357']
	894743 	28078 	1999 	['357']
	894743 	28078 	1998 	['357']
	874038 	24037 	1999 	['808']
	874038 	24037 	1998 	['808']
	36966 	4737 	1999 	['602']
	36966 	4737 	1998 	['602']
	764843 	13831 	1999 	['737']
	764843 	13831 	1998 	['357']
	723603 	3647 	1999 	['221']
	723603 	3647 	1998 	['221']
	802851 	14938 	1999 	['367']
	802851 	14938 	1998 	['367']
	873860 	63639 	1999 	['603']
	873860 	63639 	1998 	['603']
	352942 	10990 	1998 	['483']
	63416 	7127 	1999 	['531']
	63416 	7127 	1998 	['531']
	808918 	14340 	1999 	['366']
	808918 	14340 	1998 	['366']
	884621 	28690 	1999 	['679']
	884621 	28690 	1998 	['873']
	884624 	28380 	1998 	['384']
	704562 	14603 	1999 	['283']
	704562 	14603 	1998 	['283']
	884629 	27845 	1999 	['283']
	884629 	27845 	1998 	['283']
	731245 	8734 	1999 	['679']
	731245 	8734 	1998 	['679']
	826821 	2889 	1998 	['179']
	821127 	29211 	1999 	['602']
	821127 	29211 	1998 	['602']
	12208 	2220 	1999 	['382']
	12208 	2220 	1998 	['382']
	932064 	31168 	1998 	['357']
	1002682 	16885 	1999 	['602']
	1002682 	16885 	1998 	['602']
	885245 	25234 	1999 	['565']
	885245 	25234 	1998 	['565']
	902274 	28462 	1999 	['322']
	902274 	28462 	1998 	['322']
	902276 	28403 	1999 	['208']
	902276 	28403 	1998 	['208']
	902277 	28524 	1999 	['13']
	902277 	28524 	1998 	['13']
	902270 	28414 	1999 	['326']
	902270 	28414 	1998 	['326']
	851737 	18100 	1999 	['384']
	851737 	18100 	1998 	['384']
	902272 	28388 	1999 	['394']
	902272 	28388 	1998 	['394']
	804138 	13776 	1999 	['679']
	804138 	13776 	1998 	['679']
	911115 	28958 	1999 	['332']
	911115 	28958 	1998 	['332']
	933452 	31591 	1999 	['357']
	933452 	31591 	1998 	['357']
	1005817 	17240 	1999 	['602']
	1005817 	17240 	1998 	['602']
	948708 	61321 	1999 	['737']
	948708 	61321 	1998 	['737']
	742161 	16838 	1999 	['603']
	742161 	16838 	1998 	['603']
	1302676 	6722 	1999 	['366']
	1302676 	6722 	1998 	['366']
	850606 	17861 	1999 	['603']
	850606 	17861 	1998 	['603']
	870753 	30029 	1999 	['366']
	870753 	30029 	1998 	['366']
	812910 	13397 	1999 	['641']
	812910 	13397 	1998 	['641']
	878731 	31683 	1999 	['594']
	878731 	31683 	1998 	['594']
	1021561 	64028 	1999 	['512']
	1021561 	64028 	1998 	['512']
	8868 	1920 	1999 	['284']
	8868 	1920 	1998 	['284']
	868267 	23852 	1999 	['738']
	868267 	23852 	1998 	['738']
	1009672 	62686 	1999 	['329']
	1009672 	62686 	1998 	['329']
	820235 	13902 	1998 	['737']
	947577 	61746 	1999 	['516']
	947577 	61746 	1998 	['516']
	1003648 	61960 	1999 	['835']
	1003648 	61960 	1998 	['835']
	847831 	15383 	1999 	['441']
	847831 	15383 	1998 	['441']
	911577 	26852 	1999 	['737']
	36104 	4723 	1999 	['602']
	36104 	4723 	1998 	['602']
	1003642 	61745 	1999 	['283']
	1003642 	61745 	1998 	['283']
	1017907 	6791 	1999 	['679']
	1017907 	6791 	1998 	['679']
	1049624 	66628 	1999 	['632']
	931085 	31504 	1998 	['783']
	949039 	61409 	1999 	['138']
	949039 	61409 	1998 	['138']
	927628 	30990 	1999 	['614']
	927628 	30990 	1998 	['614']
	3333 	1240 	1999 	['541']
	3333 	1240 	1998 	['541']
	714278 	5961 	1999 	['873']
	714278 	5961 	1998 	['873']
	841692 	15293 	1999 	['355']
	841692 	15293 	1998 	['355']
	1016504 	61880 	1999 	['283']
	852952 	28676 	1999 	['239']
	852952 	28676 	1998 	['239']
	731012 	5539 	1999 	['734']
	731012 	5539 	1998 	['734']
	96988 	10417 	1999 	['738']
	96988 	10417 	1998 	['738']
	1046002 	17237 	1999 	['603']
	1046002 	17237 	1998 	['603']
	798757 	65466 	1999 	['737']
	1491675 	12756 	1999 	['208']
	1491675 	12756 	1998 	['208']
	919722 	62382 	1999 	['283']
	919722 	62382 	1998 	['283']
	1017172 	63663 	1998 	['737']
	18396 	2538 	1999 	['736']
	18396 	2538 	1998 	['736']
	945446 	60955 	1998 	['737']
	822076 	13942 	1999 	['556']
	822076 	13942 	1998 	['556']
	18172 	2811 	1999 	['505']
	18172 	2811 	1998 	['505']
	109471 	1173 	1999 	['381']
	109471 	1173 	1998 	['381']
	39368 	4926 	1999 	['289']
	39368 	4926 	1998 	['289']
	1005967 	62377 	1998 	['357']
	804269 	17197 	1999 	['619']
	804269 	17197 	1998 	['619']
	920945 	30467 	1999 	['603']
	920945 	30467 	1998 	['603']
	930686 	31456 	1999 	['581']
	930686 	31456 	1998 	['581']
	1012734 	63181 	1999 	['555']
	1012734 	63181 	1998 	['555']
	707605 	17269 	1999 	['602']
	707605 	17269 	1998 	['602']
	707606 	10252 	1999 	['737']
	707606 	10252 	1998 	['737']
	1042809 	65569 	1999 	['594']
	814181 	16986 	1999 	['632']
	814181 	16986 	1998 	['632']
	814184 	15363 	1999 	['602']
	814184 	15363 	1998 	['602']
	1042801 	66096 	1999 	['603']
	764065 	3107 	1999 	['101']
	764065 	3107 	1998 	['101']
	795212 	12421 	1999 	['573']
	795212 	12421 	1998 	['573']
	944950 	60868 	1999 	['737']
	944950 	60868 	1998 	['737']
	857005 	18699 	1999 	['737']
	857005 	18699 	1998 	['737']
	1016439 	63661 	1999 	['737']
	1016439 	63661 	1998 	['737']
	918946 	30006 	1999 	['506']
	918946 	30006 	1998 	['506']
	1027884 	64549 	1999 	['179']
	898805 	63678 	1999 	['366']
	898805 	63678 	1998 	['366']
	109657 	3691 	1998 	['283']
	883976 	25111 	1999 	['581']
	883976 	25111 	1998 	['581']
	912116 	29898 	1999 	['679']
	912116 	29898 	1998 	['679']
	355787 	8745 	1999 	['481']
	355787 	8745 	1998 	['481']
	1000787 	61550 	1999 	['737']
	1000787 	61550 	1998 	['737']
	872855 	23872 	1998 	['596']
	1090425 	63422 	1999 	['731']
	1090425 	63422 	1998 	['731']
	882289 	23988 	1999 	['808']
	882289 	23988 	1998 	['808']
	740663 	18307 	1999 	['602']
	740663 	18307 	1998 	['602']
	1000231 	61541 	1998 	['737']
	1000230 	62553 	1999 	['335']
	1000230 	62553 	1998 	['335']
	1000234 	61444 	1999 	['602']
	1000234 	61444 	1998 	['602']
	730272 	12181 	1999 	['283']
	730272 	12181 	1998 	['283']
	1030469 	16981 	1999 	['602']
	1030469 	16981 	1998 	['602']
	812927 	13412 	1999 	['367']
	812927 	13412 	1998 	['367']
	1020265 	63766 	1999 	['737']
	1020265 	63766 	1998 	['737']
	1015859 	63896 	1999 	['679']
	1015859 	63896 	1998 	['679']
	858803 	21776 	1999 	['283']
	858803 	21776 	1998 	['283']
	891788 	26247 	1999 	['357']
	891788 	26247 	1998 	['357']
	946924 	61393 	1999 	['603']
	946924 	61393 	1998 	['603']
	901696 	30009 	1999 	['357']
	901696 	30009 	1998 	['357']
	916365 	29736 	1999 	['526']
	916365 	29736 	1998 	['520']
	921768 	16681 	1999 	['603']
	921768 	16681 	1998 	['603']
	1063393 	64738 	1999 	['679']
	863896 	22536 	1998 	['782']
	792013 	16955 	1999 	['633']
	792013 	16955 	1998 	['633']
	764478 	2184 	1999 	['573']
	764478 	2184 	1998 	['573']
	811240 	23291 	1999 	['384']
	811240 	23291 	1998 	['384']
	811933 	14016 	1999 	['232']
	811933 	14016 	1998 	['232']
	1000694 	61655 	1999 	['283']
	1000694 	61655 	1998 	['283']
	319201 	6304 	1999 	['382']
	319201 	6304 	1998 	['382']
	805037 	20158 	1999 	['632']
	805037 	20158 	1998 	['632']
	1012956 	63728 	1999 	['641']
	713492 	2903 	1999 	['384']
	713492 	2903 	1998 	['384']
	1020999 	63768 	1999 	['737']
	1020999 	63768 	1998 	['737']
	923877 	30945 	1999 	['483']
	923877 	30945 	1998 	['483']
	92344 	9872 	1999 	['541']
	92344 	9872 	1998 	['541']
	830748 	14583 	1999 	['679']
	830748 	14583 	1998 	['679']
	945841 	61420 	1999 	['509']
	945841 	61420 	1998 	['509']
	793547 	17074 	1999 	['633']
	793547 	17074 	1998 	['633']
	832922 	14832 	1998 	['591']
	1170010 	64410 	1999 	['550']
	1037540 	64925 	1999 	['679']
	103341 	11147 	1999 	['222']
	103341 	11147 	1998 	['222']
	835324 	22717 	1999 	['602']
	835324 	22717 	1998 	['602']
	1000298 	61586 	1999 	['679']
	1000298 	61586 	1998 	['679']
	51939 	17160 	1999 	['602']
	51939 	17160 	1998 	['602']
	912240 	29376 	1998 	['679']
	81318 	8838 	1999 	['131']
	81318 	8838 	1998 	['131']
	912242 	29868 	1999 	['679']
	912242 	29868 	1998 	['679']
	880446 	24803 	1999 	['367']
	880446 	24803 	1998 	['367']
	74058 	8109 	1999 	['359']
	74058 	8109 	1998 	['359']
	98410 	10585 	1999 	['131']
	98410 	10585 	1998 	['131']
	16104 	2606 	1999 	['201']
	16104 	2606 	1998 	['201']
	230463 	8655 	1999 	['131']
	230463 	8655 	1998 	['131']
	28866 	3949 	1999 	['138']
	28866 	3949 	1998 	['138']
	74691 	7556 	1999 	['504']
	74691 	7556 	1998 	['504']
	73020 	7993 	1999 	['492']
	73020 	7993 	1998 	['499']
	1005010 	61996 	1999 	['384']
	1005010 	61996 	1998 	['384']
	946144 	61027 	1999 	['357']
	946144 	61027 	1998 	['357']
	815838 	14918 	1999 	['283']
	815838 	14918 	1998 	['283']
	744106 	4595 	1998 	['358']
	807364 	13552 	1999 	['152']
	807364 	13552 	1998 	['655']
	803112 	19742 	1999 	['602']
	803112 	19742 	1998 	['602']
	898660 	28317 	1999 	['799']
	898660 	28317 	1998 	['799']
	915866 	29746 	1999 	['366']
	915866 	29746 	1998 	['366']
	1017958 	63602 	1999 	['738']
	1017958 	63602 	1998 	['738']
	92769 	9937 	1999 	['367']
	92769 	9937 	1998 	['367']
	1085392 	8818 	1998 	['493']
	859737 	20904 	1999 	['384']
	859737 	20904 	1998 	['384']
	740112 	3373 	1999 	['609']
	740112 	3373 	1998 	['609']
	845877 	15153 	1999 	['611']
	845877 	15153 	1998 	['611']
	877355 	24503 	1999 	['636']
	877355 	24503 	1998 	['636']
	1036030 	28490 	1999 	['603']
	1036030 	28490 	1998 	['603']
	877357 	24473 	1999 	['283']
	877357 	24473 	1998 	['283']
	893162 	29085 	1999 	['382']
	893162 	29085 	1998 	['382']
	1022368 	64708 	1999 	['283']
	46195 	2005 	1999 	['602']
	46195 	2005 	1998 	['602']
	929647 	31230 	1999 	['679']
	928592 	26067 	1999 	['603']
	928592 	26067 	1998 	['603']
	1287286 	64991 	1999 	['616']
	731653 	27886 	1999 	['602']
	731653 	27886 	1998 	['602']
	879106 	26898 	1999 	['283']
	879106 	26898 	1998 	['283']
	1540145 	63690 	1999 	['566']
	1540145 	63690 	1998 	['566']
	1042825 	65554 	1999 	['367']
	917524 	63803 	1999 	['737']
	908259 	28795 	1999 	['283']
	908259 	28795 	1998 	['283']
	43837 	5334 	1998 	['594']
	1006892 	62399 	1999 	['737']
	1006892 	62399 	1998 	['737']
	908254 	28787 	1999 	['514']
	908254 	28787 	1998 	['514']
	840883 	15331 	1999 	['355']
	840883 	15331 	1998 	['355']
	897075 	27988 	1999 	['283']
	897075 	27988 	1998 	['283']
	941914 	63157 	1999 	['421']
	941914 	63157 	1998 	['421']
	1005313 	62487 	1999 	['603']
	1005313 	62487 	1998 	['603']
	1024047 	64186 	1999 	['357']
	1024047 	64186 	1998 	['357']
	880266 	25180 	1999 	['352']
	880266 	25180 	1998 	['352']
	948846 	30399 	1999 	['451']
	948846 	30399 	1998 	['451']
	36377 	4708 	1999 	['602']
	36377 	4708 	1998 	['602']
	878720 	24545 	1999 	['560']
	878720 	24545 	1998 	['560']
	719152 	7192 	1998 	['382']
	350557 	6717 	1999 	['384']
	350557 	6717 	1998 	['384']
	878725 	24662 	1999 	['384']
	878725 	24662 	1998 	['384']
	766430 	1577 	1999 	['367']
	766430 	1577 	1998 	['367']
	888455 	29909 	1998 	['599']
	875738 	24407 	1999 	['781']
	875738 	24407 	1998 	['781']
	1015868 	63990 	1999 	['283']
	1015868 	63990 	1998 	['283']
	799903 	12580 	1998 	['283']
	1014653 	64688 	1999 	['738']
	1016243 	63648 	1999 	['737']
	801337 	17150 	1999 	['603']
	801337 	17150 	1998 	['603']
